Pos,title,question,type,subquestion_nb_rep,scale,ordered,other_option,post_treatment
1,@_id,,numeric,,,,,
2,PONDERADOR,,numeric,,,,,
3,Region,,Choice (1-n),,,,,
4,Departamento,,Choice (1-n),,,,,
5,Municipio,,Choice (1-n),,,,,
6,Zona,,Choice (1-n),,,,,
7,Ncuestionario,,Choice (1-n),,,,,
8,CODANE,,Choice (1-n),,,,,
10,A1,1. Sexo,Choice (1-2),,,,,
11,A2,2. ¿Cuántos años tiene?,numeric,,,,,
13,A3,"3. En el recibo de la luz de su domicilio, ¿qué estrato sale reportado?",Choice (1-6),,,,,
15,A4,4. ¿Qué hace usted principalmente?,Choice (1-6),,,,T,
17,A5,"5. De acuerdo con su cultura, etnia o rasgos físicos, ¿usted se reconoce como:…?",Choice (1-6),,,,,
18,A6,6. ¿Cuál es el nivel educativo más alto alcanzado por usted?,Choice (1-6),,,,,
19,A7,7. ¿Usted vive en un hogar:…?,Choice (1-2),,,,,
20,A8,8. ¿Cuál es su parentesco con el jefe o jefa de su hogar?,Choice (1-6),,,,,
21,A9,9. ¿Usted tiene hijos?,Yes/No,,,,,
22,A10,10. ¿Usted tiene mascotas?,Yes/No,,,,,
23,A11,"11. Ubique su posición ideológica, en una escala de 1 a 6 donde 1 es una posición de izquierda y 6 es una posición de derecha",Scale (6),,,,,
25,B12,12. ¿Cómo se informa usted de los temas del país?,Choice (5-5),,,,T,
34,B13,13. De la siguiente lista ¿cuáles son los cinco PRINCIPALES problemas que más lo afectan a USTED?,Choice (5-15),,,,T,
52,B14,"14. De las emociones que le voy a mencionar a continuación, ¿cuáles son las DOS MÁS DOMINANTES en su vida HOY?",Choice (2-6),,,,,
,B15,"15. De las emociones seleccionadas, en una escala de 1 
a 6 donde 1 es POCO y 6 MUCHO, ¿qué tanto siente 
esta emoción?",Scale (6),6,,,,
67,B16,"16. De las emociones que le voy a mencionar a continuación, ¿cuáles son las DOS MÁS DOMINANTES que le generan los candidatos presidenciales actuales?",Choice (2-12),,,,T,
,C17,"17. De las siguientes instituciones y figuras, ¿en cuáles confía?",Choice (1-3),22,,,,
,C18,18. ¿Usted qué está dispuesto a hacer para aportar/solucionar los problemas del país? ,Yes/No,12,,,,
116,C19,19. ¿Usted cree que votar es una forma de ayudar a transformar y solucionar los problemas del país?,Yes/No,,,,,
117,C20,20. ¿Usted ha votado alguna vez?,Yes/No,,,,,
118,C21,21. ¿Usted votó en las elecciones para consulta interpartidista realizadas el pasado 13 de marzo?,Choice (1-3),,,,,
119,C22,22. ¿El candidato por el que usted votó en las consultas ganó?,Yes/No,,,,,
120,C23,"23. ¿Usted va a votar por el candidato que ganó en la consulta en la que usted participó, en primera vuelta presidencial?",Yes/No,,,,,
121,C24,"24. En las elecciones del pasado 13 de marzo de consultas y congreso, ¿alguien se le acercó para comprar su voto?",Yes/No,,,,,
122,C25,25. ¿Usted presenció alguna irregularidad en las elecciones del pasado 13 de marzo?,Yes/No,,,,,
123,C26,26. ¿Usted reportó la situación?,Yes/No,,,,,
124,C26_Otro,¿Donde?,Free text,,,,,
125,C27,27. ¿Usted se siente representado por los candidatos presidenciales de primera vuelta?,Yes/No,,,,,
126,C28,28. ¿Usted piensa salir a votar en primera vuelta presidencial de 2022?,Yes/No,,,,,
127,C29,29. ¿Ya decidió por quién votar en primera vuelta presidencial este 29 de mayo?,Yes/No,,,,,
128,C30,30. ¿Usted tiene clara las propuestas de su candidato(a)?,Yes/No,,,,,
129,C31,31. ¿Cuáles son los temas que más le llaman la atención de su candidato(a) que pueda resumir en 3 palabras?,Free text,,,,,3
133,C32,"32. Usted, ¿qué tiene en cuenta a la hora de escoger por quién votar?",Choice (3-11),,,,T,
147,C33,33. ¿Usted ve los debates presidenciales?,Yes/No,,,,,
148,C33_1,33.1 ¿Cuáles ve?,Free text,,,,,
,D34,"34. En una escala de 1 a 6, donde 1 es MUY POCO y 6 es MUY FUERTE, Cuando usted piensa en cómo el gobierno está respondiendo al cambio climático se siente: ",Scale (6),10,,,,
,D35,"35. En una escala de 1 a 6, donde 1 es MUY NEGATIVO y 6 es MUY POSITIVO, ¿cómo cree usted que impactan los siguientes actores en el cambio climático?",Scale (6),14,,,,
173,C36,36. ¿Cuáles son las DOS emociones que reflejen su forma de sentir cuando piensa en el cambio climático?,Choice (2-16),,,,,
190,C37,"37. De las siguientes opciones, el cambio climático me hace pensar que:",Choice (3-15),,,,,
,C38,"38. En una escala de 1 a 6, donde 1 es MUY NEGATIVAMENTE y 6 es MUY POSITVAMENTE, ¿Cómo cree que las siguientes acciones afectarían A SU COMODIDA? ",Scale (6),10,,,,
,C39,"39. En una escala de 1 a 6, donde 1 es MUY NEGATIVAMENTE y 6 es MUY POSITVAMENTE, ¿Cómo cree que las siguientes acciones afectarían AL CAMBIO CLIMÁTICO?",Scale (6),10,,,,
226,C40,"40. Indíqueme su apreciación en cuanto al origen del cambio climático actual, en una escala de 1 a 10, donde 1 es 100% debido a  causas naturales y 10 es 100% debido a actividades humanas",Scale (10),,,,,
227,C41,"41. En su opinión, ¿cuál de los siguientes factores a nivel global tiene la mayor contribución al cambio climático actualmente?",Choice (1-4),,,,,
228,D42,42. ¿Estaba usted matriculado realizando algún tipo de estudio cuando se decretó el aislamiento a causa del COVID-19?,Yes/No,,,,,
229,D43,43. ¿En qué nivel se encontraba usted matriculado?,Choice (1-7),,,,,
230,D44,44. ¿Usted inició algún tipo de estudio después de que se decretó el aislamiento a causa del COVID-19?,Yes/No,,,,,
231,D45,45. ¿En qué nivel se matriculó usted?,Choice (1-7),,,,,
232,D46,"46. Durante el aislamiento decretado a causa del COVID-19, ¿pudo usted continuar con sus estudios?",Yes/No,,,,,
233,D47,"47. Durante el aislamiento decretado a causa del COVID-19, para sus actividades escolares virtuales o clases remotas utilizó.",Choice (7-7),,,,,
241,D48,48. Alguno de los motivos por lo que no continuó con sus estudios durante el aislamiento decretado a causa del COVID-19 fue porque...,Choice (8-8),,,,T,
252,D49,"49. Durante el aislamiento decretado a causa del COVID-19, para sus actividades escolares virtuales o clases remotas usted contaba con las siguientes conexiones en su lugar de residencia",Choice (4-4),,,,,
257,D50,50. Cree usted que la calidad de la educación que usted recibió en modalidad remota respecto de la presencial es:,Choice (1-3),,,,,
258,D51,"51. En el marco de los estudios que estuvo realizando durante el aislamiento decretado a causa del COVID-19, ¿cómo califica su proceso de aprendizaje durante sus actividades escolares virtuales o clases remotas?",Choice (1-4),,,,,
259,D52,"52. En su opinión, ¿cuáles han sido las ventajas de las clases a distancia o virtuales?",Choice (7-7),,,,T,
269,D53,"53. En su opinión, ¿cuáles han sido las desventajas de las clases a distancia o virtuales?",Choice (8-8),,,,T,
280,D54,"54. Al retornar a la educación presencial, usted se ha sentido:",Choice (6-6),,,,T,
289,D55,"55. En su opinión, ¿cuáles considera usted que son las ventajas del regreso a la educación presencial?",Choice (5-5),,,,T,
297,D56,"56. En su opinión, ¿cuáles considera usted que son las desventajas del regreso a la educación presencial?",Choice (5-5),,,,T,
